dmk_votes,admk_votes,lat,lng
94528,84839,13.351809091987052,80.24225769572085
120314,91061,13.207504530147046,79.49535766811863
107709,85008,13.124764276229673,79.82624029579023
126452,75514,13.359073155584763,80.0150667120431
149578,55468,13.145108320015535,80.01153045601477
151485,94414,13.191418531490054,80.16196573076755
88185,50524,13.176629731390593,80.28977069539418
58230,85399,13.069287682181821,79.6642060045521
85140,84394,13.024690481046031,79.20722058415811
150287,95012,13.12658777460859,80.08855570171544
110228,83530,13.003493891722268,79.49073085600602
105267,50291,13.128969328630514,80.25681949636297
95763,53284,13.129448303039458,80.28566742381743
114554,72408,13.109860589307397,80.17017138676135
105522,35138,13.117806145679781,80.22508279827787
73997,84579,12.996101661047422,78.94375181969437
64424,36645,13.109932610668004,80.28855634102834
76127,38890,13.098459269465403,80.21341850327619
81727,26714,13.100298918091674,80.25422163903946
121298,89577,13.064460330947204,80.15300626837013
59317,32043,13.084676253967203,80.2855130222507
80054,52609,13.078448295335196,80.2218804928421
68832,30064,13.079269543435597,80.25679407296181
100412,93511,12.928972166619918,78.73089848630342
74351,55984,13.052810688066891,80.19538712789488
93285,23930,13.056788029762677,80.27156649225988
71867,39405,13.052941082244931,80.24285297748854
115353,104474,12.934948744240542,79.95816684626045
56035,55898,13.044540053458196,80.22124483948834
116785,76214,13.004278764440999,80.16144333533772
103291,86793,12.932266196849053,79.33510145062768
68392,55759,13.02920214699547,80.26416807576575
80194,50786,13.011376762132553,80.2268024250691
68493,64141,12.990316354669476,80.24492018693954
102712,91117,12.882446182732354,79.71626795974363
126427,88646,12.959961853569318,80.14461494128223
171558,136153,12.917656955886416,80.21723945334185
84299,75118,12.915916476169336,79.15209635424837
95159,88799,12.804451711707696,78.99019951270708
116840,80016,12.909292028076758,80.12798597864855
118231,105864,12.757032042312202,77.86344221881649
103885,83927,12.800289279947243,79.31263774580296
90476,70244,12.757482548509374,78.7574669209988
130573,103908,12.777331954802797,80.02713489110485
91050,94104,12.660564911452633,78.06481583375665
102460,90189,12.700734627712318,79.57202552686938
93954,92007,12.68533701886196,80.1226810388078
93427,91805,12.701667545475813,79.79442768810884
99833,102961,12.667521811005068,79.28203693701133
83114,88018,12.609569318839918,78.6764126207855
94134,84912,12.508425996904263,78.9907562305533
120641,64415,12.417178688691205,77.73669825414164
88007,97732,12.530136686728435,79.23074541261502
83076,86646,12.478808808086388,79.85256455255694
97256,84642,12.460556209809129,78.32843904482418
89490,88399,12.56503580251257,78.5432551213164
96522,68282,12.418384362379213,78.63330112986307
95256,96050,12.482538148519271,78.17578157143129
102064,66111,12.470225352015216,79.56635284827797
108081,96511,12.228934846253305,78.82019423088117
82750,78708,12.436062814472603,79.9708111895777
81970,110070,12.341577264353914,78.07889700180084
71288,99675,12.285505291446722,78.49199587059742
109625,73822,12.269302313941804,79.32642621095815
104675,77888,12.243131579161858,79.15710303070898
78814,81044,12.23621633320882,79.54042112672674
84937,106123,12.100494077597094,77.88679827788569
77399,87152,12.214183767769963,79.79407821779274
137876,43203,12.17644168701101,79.04941149304459
68699,99061,12.027966356663159,78.5172165718614
77564,114507,12.045100143201577,78.28605063954717
78770,105630,12.047532278682558,78.0563043007061
70492,92219,11.965806443229352,79.60835243533025
93730,84157,12.035543072535711,79.45654894121753
110980,51300,11.96183773091487,79.27326618838663
113912,72184,11.931148359469328,79.04880818553443
121186,75223,11.834471548612491,78.81146140040697
87194,142488,11.83633506268146,78.08157560593378
79096,77821,11.703610303863382,77.54995278878667
96399,97055,11.822748294168012,77.81406362384094
102271,87403,11.912057441571314,79.52100347225121
95606,121561,11.763735852330708,78.35829131633135
115451,110195,11.758529658025097,79.29146017959836
84563,79412,11.797376090329417,79.73865621543521
83173,99181,11.611644510613496,77.15416173890301
93801,89104,11.79529713892832,79.56156770577556
69352,163154,11.655732942232776,77.85643802524784
84752,110643,11.657983842172758,78.98203962054309
87051,95308,11.624560425122858,78.54083056831189
62551,64496,11.531578307550095,76.48828886977671
75177,74200,11.666484916399028,79.53498612649686
83984,105483,11.705387598485759,78.09910212380682
101456,83929,11.621560251248924,79.66536347480688
93432,85844,11.680331391930963,78.14965227942827
95427,115472,11.539196547483844,77.88394973611652
78392,100915,11.52423927821757,77.64732665951321
91787,111682,11.595970299441865,78.13685189625926
82207,89568,11.501566578331776,78.66523176033509
74897,97506,11.64247558554495,78.15618087913352
65530,60182,11.393475942099272,76.67561472785923
77064,76202,11.5632330565403,79.27334334931902
61820,57715,11.41887702054576,76.86344755731471
90727,88775,11.49898546011826,78.27166098902764
80045,108608,11.39818105142092,77.35238320425691
83726,62163,11.469927471156149,79.08266312292007
88194,96453,11.467876878512945,79.51843875238329
75024,91961,11.444079541186145,79.72429949822867
81688,78826,11.391248093092218,77.9456372130398
122090,91056,11.299379143921216,78.81449429494126
69154,100800,11.401256695377562,77.77219943687908
90681,80188,11.274067935021344,78.31908790421437
100757,78668,11.315841760735813,77.66081726591612
102775,105231,11.260655237098714,76.90480983703539
86056,75491,11.323745842158628,79.52653066608289
70618,85125,11.26137761463416,77.5008257038077
